Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position,Pets,Piercings
Third,3,3,7,Right-handed,Left leg in first,On your left side,None,0
Fourth,5,3,7,Right-handed,Left leg in first,On your left side,None,0
Second,6,3,7,Right-handed,Left leg in first,On your left side,None,0
Third,8,3,7,Right-handed,Left leg in first,On your left side,None,0
Second,4,4,7,Right-handed,Left leg in first,On your left side,None,0
Third,4,4,7,Right-handed,Left leg in first,On your left side,None,0
First,6,5,7,Right-handed,Left leg in first,On your left side,None,0
Third,6,5,7,Right-handed,Left leg in first,On your left side,None,0
Second,6,6,7,Right-handed,Left leg in first,On your left side,None,0
First,6,7,7,Right-handed,Left leg in first,On your left side,None,0
First,7,15,7,Right-handed,Left leg in first,On your left side,None,0
Second,8,6,7.5,Right-handed,Left leg in first,On your left side,None,0
First,4,10,7.5,Right-handed,Left leg in first,On your left side,None,0
First,6,2,8,Right-handed,Left leg in first,On your left side,None,0
First,6,5,8,Right-handed,Left leg in first,On your left side,None,0
Second,7,5,8,Right-handed,Left leg in first,On your left side,None,0
First,8,5,8,Right-handed,Left leg in first,On your left side,None,0
First,4,4,9,Right-handed,Left leg in first,On your left side,None,0
First,4,5,9,Right-handed,Left leg in first,On your left side,None,0
Second,8,7,9,Right-handed,Left leg in first,On your left side,None,0
Fourth,3,2,10,Right-handed,Left leg in first,On your left side,None,0
Second,4,2,5,Left-handed,Right leg in first,On your left side,None,0
First,8,20,6,Left-handed,Right leg in first,On your left side,None,0
Third,6,6,7,Left-handed,Right leg in first,On your left side,None,0
First,4,12,8,Left-handed,Right leg in first,On your left side,None,0
Second,7,2,5,Right-handed,Right leg in first,On your left side,None,0
First,3,4,6,Right-handed,Right leg in first,On your left side,None,0
Second,4,4,6,Right-handed,Right leg in first,On your left side,None,0
Second,7,8,6,Right-handed,Right leg in first,On your left side,None,0
First,6,10,6,Right-handed,Right leg in first,On your left side,None,0
First,7,10,6,Right-handed,Right leg in first,On your left side,None,0
Third,8,10,6,Right-handed,Right leg in first,On your left side,None,0
First,3,2,7,Right-handed,Right leg in first,On your left side,None,0
Second,4,2,7,Right-handed,Right leg in first,On your left side,None,0
First,8,3,7,Right-handed,Right leg in first,On your left side,None,0
Second,3,4,7,Right-handed,Right leg in first,On your left side,None,0
Third,4,4,7,Right-handed,Right leg in first,On your left side,None,0
First,9,4,7,Right-handed,Right leg in first,On your left side,None,0
Second,3,6,7,Right-handed,Right leg in first,On your left side,None,0
First,9,6,7,Right-handed,Right leg in first,On your left side,None,0
First,4,7,7,Right-handed,Right leg in first,On your left side,None,0
Fourth,7,7,7,Right-handed,Right leg in first,On your left side,None,0
First,7,10,7,Right-handed,Right leg in first,On your left side,None,0
Second,2,2,7.5,Right-handed,Right leg in first,On your left side,None,0
Second,6,2,8,Right-handed,Right leg in first,On your left side,None,0
First,3,4,8,Right-handed,Right leg in first,On your left side,None,0
Second,5,4,8,Right-handed,Right leg in first,On your left side,None,0
First,9,4,8,Right-handed,Right leg in first,On your left side,None,0
First,7,5,8,Right-handed,Right leg in first,On your left side,None,0
First,8,5,8,Right-handed,Right leg in first,On your left side,None,0
Second,5,6,8,Right-handed,Right leg in first,On your left side,None,0
Second,7,7,8,Right-handed,Right leg in first,On your left side,None,0
Second,6,12,8,Right-handed,Right leg in first,On your left side,None,0
First,10,10,8.5,Right-handed,Right leg in first,On your left side,None,0
Second,6,5,9,Right-handed,Right leg in first,On your left side,None,0
First,1,7,9,Right-handed,Right leg in first,On your left side,None,0
Second,6,4,10,Left-handed,I don't know,On your right side,None,0
Second,4,5,7,Right-handed,I don't know,On your right side,None,0
Third,1,0,8,Right-handed,I don't know,On your right side,None,0
Third,7,4,8,Right-handed,I don't know,On your right side,None,0
First,8,4,8,Right-handed,I don't know,On your right side,None,0
First,8,10,8,Right-handed,I don't know,On your right side,None,0
First,8,15,8,Right-handed,I don't know,On your right side,None,0
Second,7,8,9,Right-handed,I don't know,On your right side,None,0
Fourth,5,6,10,Right-handed,I don't know,On your right side,None,0
Third,8,8,7,Left-handed,Left leg in first,On your right side,None,0
Second,4,1,5,Right-handed,Left leg in first,On your right side,None,0
Second,2,0,6,Right-handed,Left leg in first,On your right side,None,0
Third,4,0,6,Right-handed,Left leg in first,On your right side,None,0
Second,6,5,6,Right-handed,Left leg in first,On your right side,None,0
Third,5,7,6,Right-handed,Left leg in first,On your right side,None,0
First,7,10,6,Right-handed,Left leg in first,On your right side,None,0
Second,6,20,6,Right-handed,Left leg in first,On your right side,None,0
Third,5,2,7,Right-handed,Left leg in first,On your right side,None,0
First,5,3,7,Right-handed,Left leg in first,On your right side,None,0
First,7,3,7,Right-handed,Left leg in first,On your right side,None,0
First,5,4,7,Right-handed,Left leg in first,On your right side,None,0
Fourth,2,5,7,Right-handed,Left leg in first,On your right side,None,0
Third,5,5,7,Right-handed,Left leg in first,On your right side,None,0
First,6,5,7,Right-handed,Left leg in first,On your right side,None,0
Second,6,5,7,Right-handed,Left leg in first,On your right side,None,0
First,8,5,7,Right-handed,Left leg in first,On your right side,None,0
Third,10,5,7,Right-handed,Left leg in first,On your right side,None,0
Third,8,6,7,Right-handed,Left leg in first,On your right side,None,0
First,4,8,7,Right-handed,Left leg in first,On your right side,None,0
First,7,10,7,Right-handed,Left leg in first,On your right side,None,0
First,8,10,7,Right-handed,Left leg in first,On your right side,None,0
First,9,15,7,Right-handed,Left leg in first,On your right side,None,0
First,9,16,7,Right-handed,Left leg in first,On your right side,None,0
First,3,8,7.5,Right-handed,Left leg in first,On your right side,None,0
First,4,2,8,Right-handed,Left leg in first,On your right side,None,0
Second,3,3,8,Right-handed,Left leg in first,On your right side,None,0
Second,6,3,8,Right-handed,Left leg in first,On your right side,None,0
First,5,5,8,Right-handed,Left leg in first,On your right side,None,0
First,8,5,8,Right-handed,Left leg in first,On your right side,None,0
Fourth,3,7,8,Right-handed,Left leg in first,On your right side,None,0
First,4,9,8,Right-handed,Left leg in first,On your right side,None,0
First,3,10,8,Right-handed,Left leg in first,On your right side,None,0
First,8,30,8,Right-handed,Left leg in first,On your right side,None,0
Second,4,3,9,Right-handed,Left leg in first,On your right side,None,0
Second,7,6,9,Right-handed,Left leg in first,On your right side,None,0
First,2,3,6,Left-handed,Right leg in first,On your right side,None,0
Second,8,3,8,Left-handed,Right leg in first,On your right side,None,0
Fourth,1,3,3,Right-handed,Right leg in first,On your right side,None,0
Third,2,10,4,Right-handed,Right leg in first,On your right side,None,0
Fourth,5,2,5.5,Right-handed,Right leg in first,On your right side,None,0
Second,5,3,5.5,Right-handed,Right leg in first,On your right side,None,0
First,4,2,6,Right-handed,Right leg in first,On your right side,None,0
First,7,2,6,Right-handed,Right leg in first,On your right side,None,0
First,3,3,6,Right-handed,Right leg in first,On your right side,None,0
Second,3,3,6,Right-handed,Right leg in first,On your right side,None,0
Second,8,3,6,Right-handed,Right leg in first,On your right side,None,0
Second,3,4,6,Right-handed,Right leg in first,On your right side,None,0
Third,3,5,6,Right-handed,Right leg in first,On your right side,None,0
Third,7,6,6,Right-handed,Right leg in first,On your right side,None,0
First,8,7,6,Right-handed,Right leg in first,On your right side,None,0
First,8,10,6,Right-handed,Right leg in first,On your right side,None,0
First,6,7,6.5,Right-handed,Right leg in first,On your right side,None,0
First,7,20,6.5,Right-handed,Right leg in first,On your right side,None,0
First,2,1,7,Right-handed,Right leg in first,On your right side,None,0
Third,3,1,7,Right-handed,Right leg in first,On your right side,None,0
Second,3,2,7,Right-handed,Right leg in first,On your right side,None,0
Second,1,3,7,Right-handed,Right leg in first,On your right side,None,0
Second,2,3,7,Right-handed,Right leg in first,On your right side,None,0
Second,4,3,7,Right-handed,Right leg in first,On your right side,None,0
Second,4,3,7,Right-handed,Right leg in first,On your right side,None,0
First,6,4,7,Right-handed,Right leg in first,On your right side,None,0
Third,7,4,7,Right-handed,Right leg in first,On your right side,None,0
Third,3,5,7,Right-handed,Right leg in first,On your right side,None,0
First,4,5,7,Right-handed,Right leg in first,On your right side,None,0
Third,4,5,7,Right-handed,Right leg in first,On your right side,None,0
Fourth,5,5,7,Right-handed,Right leg in first,On your right side,None,0
Second,7,6,7,Right-handed,Right leg in first,On your right side,None,0
Second,4,7,7,Right-handed,Right leg in first,On your right side,None,0
First,7,7,7,Right-handed,Right leg in first,On your right side,None,0
Fourth,10,9,7,Right-handed,Right leg in first,On your right side,None,0
First,4,10,7,Right-handed,Right leg in first,On your right side,None,0
First,7,15,7,Right-handed,Right leg in first,On your right side,None,0
First,7,16,7,Right-handed,Right leg in first,On your right side,None,0
Third,1,2,8,Right-handed,Right leg in first,On your right side,None,0
Second,2,2,8,Right-handed,Right leg in first,On your right side,None,0
First,4,2,8,Right-handed,Right leg in first,On your right side,None,0
Fourth,5,2,8,Right-handed,Right leg in first,On your right side,None,0
Third,5,2,8,Right-handed,Right leg in first,On your right side,None,0
First,1,3,8,Right-handed,Right leg in first,On your right side,None,0
First,4,3,8,Right-handed,Right leg in first,On your right side,None,0
Second,4,3,8,Right-handed,Right leg in first,On your right side,None,0
Third,4,3,8,Right-handed,Right leg in first,On your right side,None,0
First,7,3,8,Right-handed,Right leg in first,On your right side,None,0
First,7,4,8,Right-handed,Right leg in first,On your right side,None,0
Second,7,4,8,Right-handed,Right leg in first,On your right side,None,0
Third,7,4,8,Right-handed,Right leg in first,On your right side,None,0
First,5,5,8,Right-handed,Right leg in first,On your right side,None,0
Second,7,5,8,Right-handed,Right leg in first,On your right side,None,0
First,7,6,8,Right-handed,Right leg in first,On your right side,None,0
Second,4,7,8,Right-handed,Right leg in first,On your right side,None,0
Second,7,7,8,Right-handed,Right leg in first,On your right side,None,0
Second,5,10,8,Right-handed,Right leg in first,On your right side,None,0
Fourth,6,10,8,Right-handed,Right leg in first,On your right side,None,0
First,8,10,8,Right-handed,Right leg in first,On your right side,None,0
First,7,15,8,Right-handed,Right leg in first,On your right side,None,0
Fourth,6,5,8.5,Right-handed,Right leg in first,On your right side,None,0
Second,4,2,9,Right-handed,Right leg in first,On your right side,None,0
First,2,3,9,Right-handed,Right leg in first,On your right side,None,0
Second,6,5,9,Right-handed,Right leg in first,On your right side,None,0
First,6,7,9,Right-handed,Right leg in first,On your right side,None,0
Second,8,4,6,Right-handed,I don't know,On your stomach,None,0
Second,4,2,8,Right-handed,I don't know,On your stomach,None,0
First,6,4,8,Right-handed,I don't know,On your stomach,None,0
Third,6,10,8,Right-handed,I don't know,On your stomach,None,0
First,9,10,8,Right-handed,I don't know,On your stomach,None,0
First,5,12,8,Right-handed,I don't know,On your stomach,None,0
Second,7,2,9,Right-handed,I don't know,On your stomach,None,0
First,6,15,9,Right-handed,I don't know,On your stomach,None,0
First,1,1,8,Both,Left leg in first,On your stomach,None,0
First,10,10,7.5,Left-handed,Left leg in first,On your stomach,None,0
First,7,4,8,Left-handed,Left leg in first,On your stomach,None,0
Second,5,4,6,Right-handed,Left leg in first,On your stomach,None,0
First,8,15,6,Right-handed,Left leg in first,On your stomach,None,0
First,7,5,6.5,Right-handed,Left leg in first,On your stomach,None,0
First,1,2,7,Right-handed,Left leg in first,On your stomach,None,0
First,8,7,7,Right-handed,Left leg in first,On your stomach,None,0
Fourth,8,4,8,Right-handed,Left leg in first,On your stomach,None,0
First,5,5,8,Right-handed,Left leg in first,On your stomach,None,0
Second,10,10,8,Right-handed,Left leg in first,On your stomach,None,0
First,6,3,5,Right-handed,Right leg in first,On your stomach,None,0
First,4,5,6,Right-handed,Right leg in first,On your stomach,None,0
First,10,7,6,Right-handed,Right leg in first,On your stomach,None,0
Second,2,2,7,Right-handed,Right leg in first,On your stomach,None,0
First,5,4,7,Right-handed,Right leg in first,On your stomach,None,0
First,9,5,7,Right-handed,Right leg in first,On your stomach,None,0
Third,8,6,7,Right-handed,Right leg in first,On your stomach,None,0
Fourth,9,7,7,Right-handed,Right leg in first,On your stomach,None,0
Second,7,10,7,Right-handed,Right leg in first,On your stomach,None,0
First,2,2,8,Right-handed,Right leg in first,On your stomach,None,0
First,5,2,8,Right-handed,Right leg in first,On your stomach,None,0
Second,8,4,8,Right-handed,Right leg in first,On your stomach,None,0
First,5,5,8,Right-handed,Right leg in first,On your stomach,None,0
First,7,10,8,Right-handed,Right leg in first,On your stomach,None,0
Second,5,20,8,Right-handed,Right leg in first,On your stomach,None,0
First,5,2,8.5,Right-handed,Right leg in first,On your stomach,None,0
First,5,5,9,Right-handed,Right leg in first,On your stomach,None,0
Second,4,8,9,Right-handed,Right leg in first,On your stomach,None,0
Second,4,3,7,Right-handed,I don't know,On your back,None,0
First,6,2,7,Right-handed,Left leg in first,On your back,None,0
Second,7,6,6,Right-handed,Right leg in first,On your back,None,0
Second,7,4,7,Right-handed,Right leg in first,On your back,None,0
Second,8,15,8,Right-handed,I don't know,On your left side,None,0
Second,4,13,6,Left-handed,Right leg in first,On your left side,None,0
Second,4,5,9,Right-handed,Right leg in first,On your left side,None,0
Second,3,2,8,Right-handed,I don't know,On your right side,None,0
Second,5,2,6,Right-handed,Left leg in first,On your right side,None,0
First,7,9,6,Right-handed,Left leg in first,On your right side,None,0
Second,4,4,8,Right-handed,Right leg in first,On your right side,None,0
First,2,3,8,Right-handed,Left leg in first,On your stomach,None,0
Second,4,15,8,Right-handed,Right leg in first,On your stomach,None,0
Second,7,1,8,Right-handed,Left leg in first,On your right side,None,0
Second,7,5,6,Right-handed,Left leg in first,On your back,None,0
Fourth,5,1,6,Right-handed,Right leg in first,On your back,None,0
Third,3,3,8,Right-handed,Right leg in first,On your back,None,0
Third,6,4,6,Right-handed,Left leg in first,On your left side,None,0
First,6,2,8,Right-handed,Left leg in first,On your left side,None,0
First,7,11,8,Right-handed,Right leg in first,On your left side,None,0
First,5,4,6,Right-handed,I don't know,On your right side,None,0
First,4,4,7,Right-handed,Left leg in first,On your right side,None,0
Second,6,3,7,Right-handed,Right leg in first,On your right side,None,0
Second,4,6,7,Right-handed,Right leg in first,On your right side,None,0
Second,4,5,9,Right-handed,Right leg in first,On your right side,None,0
Second,4,5,7.5,Left-handed,I don't know,On your stomach,None,0
First,8,10,7,Left-handed,Right leg in first,On your stomach,None,0
Fourth,6,5,6,Right-handed,Right leg in first,On your stomach,None,0
First,4,2,8,Right-handed,Right leg in first,On your stomach,None,0
First,5,7,8,Right-handed,Right leg in first,On your stomach,None,0
Second,7,3,7,Right-handed,Right leg in first,On your left side,None,0
First,9,5,7,Right-handed,Left leg in first,On your right side,None,0
First,5,7,8,Right-handed,I don't know,On your back,Rabbit,0
First,4,10,6,Right-handed,Right leg in first,On your left side,Rabbit,0
Third,8,5,8,Right-handed,I don't know,On your right side,Rabbit,0
Second,9,10,7,Left-handed,Right leg in first,On your right side,"Rabbit, Chicken",0
Second,5,3,6,Right-handed,Right leg in first,On your right side,Snake,0
First,7,4,8,Right-handed,Right leg in first,On your right side,"Snake, None",0
First,5,2,8,Left-handed,I don't know,On your back,Turtle,0
Third,3,4,6,Right-handed,I don't know,On your back,Turtle,0
Third,3,0,10,Right-handed,I don't know,On your back,Turtle,0
Second,7,3,6,Right-handed,Left leg in first,On your right side,Turtle,0
Second,8,5,5,Right-handed,Right leg in first,On your right side,Turtle,0
First,3,3,7,Right-handed,Right leg in first,On your right side,Turtle,0
Second,4,3,8,Right-handed,Right leg in first,On your stomach,Turtle,0
Second,4,2,7,Right-handed,Left leg in first,On your back,Cat,1
Second,3,7,4,Right-handed,Right leg in first,On your back,Cat,1
Third,5,3,8,Right-handed,Left leg in first,On your right side,Cat,1
Second,9,5,7,Right-handed,Right leg in first,On your right side,Cat,1
Third,8,5,6,Right-handed,Right leg in first,On your stomach,Cat,1
Fourth,5,8,7,Right-handed,Left leg in first,On your right side,"Cat, Dog",1
First,8,10,6,Right-handed,Right leg in first,On your right side,"Cat, Dog",1
Third,3,2,7,Right-handed,Right leg in first,On your stomach,"Cat, Dog, Turtle, Hamster or Guinea Pig",1
Second,7,5,7,Right-handed,Left leg in first,On your back,Dog,1
First,6,4,6,Right-handed,Right leg in first,On your back,Dog,1
First,3,4,6,Right-handed,I don't know,On your left side,Dog,1
Second,8,20,7,Right-handed,I don't know,On your left side,Dog,1
Third,3,3,8,Right-handed,Right leg in first,On your left side,Dog,1
First,8,4,8,Right-handed,Right leg in first,On your left side,Dog,1
First,7,6,8,Right-handed,Right leg in first,On your left side,Dog,1
First,4,7,8,Right-handed,Right leg in first,On your left side,Dog,1
First,6,3,7,Left-handed,Left leg in first,On your right side,Dog,1
Second,7,5,7,Right-handed,Left leg in first,On your right side,Dog,1
First,8,5,6,Right-handed,Right leg in first,On your right side,Dog,1
Fourth,4,8,6,Right-handed,Right leg in first,On your right side,Dog,1
First,5,2,7,Right-handed,Right leg in first,On your right side,Dog,1
Fourth,8,2,8,Right-handed,Right leg in first,On your right side,Dog,1
First,9,8,8,Right-handed,Right leg in first,On your right side,Dog,1
Fifth or above,8,4,7,Right-handed,Left leg in first,On your stomach,Dog,1
Second,4,4,7,Right-handed,I don't know,On your back,"Dog, Bird",1
Fifth or above,5,4,9.5,Right-handed,Right leg in first,On your back,"Dog, Turtle, Rabbit, Lizard, Frog",1
First,8,10,7,Right-handed,Left leg in first,On your right side,Fish,1
Fourth,8,5,8,Right-handed,Left leg in first,On your right side,Fish,1
First,9,10,8,Right-handed,Left leg in first,On your right side,Fish,1
Second,5,4,8,Right-handed,I don't know,On your back,None,1
Third,8,5,6,Right-handed,Left leg in first,On your back,None,1
First,7,4,5,Right-handed,Right leg in first,On your back,None,1
First,4,3,6,Right-handed,Right leg in first,On your back,None,1
Third,7,4,6,Right-handed,Right leg in first,On your back,None,1
First,8,4,8,Right-handed,Right leg in first,On your back,None,1
Second,3,3,7,Right-handed,I don't know,On your left side,None,1
First,8,5,6,Left-handed,Left leg in first,On your left side,None,1
Fourth,7,7,6,Right-handed,Left leg in first,On your left side,None,1
First,3,5,7,Right-handed,Left leg in first,On your left side,None,1
First,10,7,7,Right-handed,Left leg in first,On your left side,None,1
First,6,5,6,Left-handed,Right leg in first,On your left side,None,1
Second,4,9,7,Right-handed,Right leg in first,On your left side,None,1
Second,8,3,8,Right-handed,Right leg in first,On your left side,None,1
Second,7,3,7,Right-handed,I don't know,On your right side,None,1
Third,4,2,8,Right-handed,I don't know,On your right side,None,1
First,4,15,6,Right-handed,Right leg in first,On your right side,None,1
First,3,2,7,Right-handed,Right leg in first,On your right side,None,1
First,5,5,7,Right-handed,Right leg in first,On your right side,None,1
Third,6,3,8,Right-handed,Right leg in first,On your right side,None,1
Second,8,10,8,Right-handed,Right leg in first,On your right side,None,1
Third,5,3,7,Right-handed,I don't know,On your stomach,None,1
First,4,5,8,Right-handed,Left leg in first,On your stomach,None,1
First,4,10,5,Right-handed,Right leg in first,On your stomach,None,1
First,7,1,8,Right-handed,Right leg in first,On your stomach,None,1
Second,5,2,11,Right-handed,Right leg in first,On your stomach,None,1
Second,3,2,8,Right-handed,Left leg in first,On your left side,None,1
Second,8,3,6,Right-handed,Right leg in first,On your left side,None,1
Second,5,2,8,Right-handed,Left leg in first,On your back,Bird,2
Third,8,2,5,Right-handed,Right leg in first,On your back,Bird,2
Second,6,2,6,Right-handed,Right leg in first,On your left side,Bird,2
Second,3,2,6,Right-handed,Right leg in first,On your right side,Bird,2
Third,4,9,6,Right-handed,I don't know,On your back,Cat,2
Second,8,10,6,Right-handed,Right leg in first,On your back,Cat,2
Not an undergrad,5,3,7,Right-handed,Right leg in first,On your back,Cat,2
Second,7,7,8,Right-handed,Right leg in first,On your back,Cat,2
First,4,7,7,Right-handed,I don't know,On your left side,Cat,2
Fifth or above,4,2,7,Right-handed,Left leg in first,On your left side,Cat,2
First,5,3,7.5,Right-handed,Left leg in first,On your left side,Cat,2
Second,8,5,8,Right-handed,Left leg in first,On your left side,Cat,2
Third,6,7,8,Right-handed,Left leg in first,On your left side,Cat,2
Third,7,1,9,Right-handed,Left leg in first,On your left side,Cat,2
Second,4,2,9,Right-handed,Left leg in first,On your left side,Cat,2
Second,7,6,5,Right-handed,Right leg in first,On your left side,Cat,2
Fourth,8,50,6,Right-handed,Right leg in first,On your left side,Cat,2
First,7,12,9,Both,Left leg in first,On your right side,Cat,2
Fifth or above,8,3,8,Left-handed,Left leg in first,On your right side,Cat,2
First,4,18,7,Right-handed,Left leg in first,On your right side,Cat,2
Second,8,7,8,Right-handed,Left leg in first,On your right side,Cat,2
Third,5,6,5,Right-handed,Right leg in first,On your right side,Cat,2
First,6,7,6,Right-handed,Right leg in first,On your right side,Cat,2
First,4,3,8,Right-handed,Right leg in first,On your right side,Cat,2
Second,4,8,8,Right-handed,Right leg in first,On your right side,Cat,2
First,3,1,5,Right-handed,Left leg in first,On your stomach,Cat,2
Third,5,10,7,Right-handed,Right leg in first,On your stomach,Cat,2
Fifth or above,3,1,6,Right-handed,I don't know,On your back,Cat,2
First,3,2,6.5,Right-handed,Left leg in first,On your back,"Cat, Turtle",2
First,8,10,7,Right-handed,I don't know,On your back,"Cat, Dog",2
Third,5,2,4,Right-handed,Right leg in first,On your back,"Cat, Dog",2
First,8,2,7,Right-handed,Right leg in first,On your back,"Cat, Dog",2
First,8,2,8,Right-handed,I don't know,On your left side,"Cat, Dog",2
Second,7,10,6,Right-handed,Right leg in first,On your left side,"Cat, Dog",2
First,3,5,6,Right-handed,Left leg in first,On your right side,"Cat, Dog",2
Third,8,5,7,Right-handed,Left leg in first,On your right side,"Cat, Dog",2
Third,8,3,8,Right-handed,Left leg in first,On your right side,"Cat, Dog",2
Third,3,5,7,Right-handed,Right leg in first,On your right side,"Cat, Dog",2
First,6,6,7,Right-handed,Right leg in first,On your right side,"Cat, Dog",2
Third,7,4,8,Right-handed,Right leg in first,On your right side,"Cat, Dog",2
First,6,15,8,Right-handed,Right leg in first,On your right side,"Cat, Dog",2
Third,6,3,6,Right-handed,I don't know,On your stomach,"Cat, Dog",2
Second,7,6,8,Left-handed,Right leg in first,On your stomach,"Cat, Dog",2
First,7,15,6,Right-handed,Right leg in first,On your back,"Cat, Dog, Chickens",2
Second,9,5,6,Right-handed,I don't know,On your back,"Cat, Dog, Fish",2
Second,4,5,4,Right-handed,Right leg in first,On your back,"Cat, Dog, Fish",2
First,3,4,8,Right-handed,Right leg in first,On your right side,"Cat, Dog, Fish, Bird",2
Third,4,3,7,Right-handed,Left leg in first,On your right side,"Cat, Dog, Fish, Rabbit",2
First,4,3,7.5,Left-handed,I don't know,On your back,"Cat, Dog, Fish, Rabbit, Bird",2
Fourth,6,10,6,Right-handed,Right leg in first,On your left side,"Cat, Dog, Fish, Turtle",2
Second,8,7,7,Right-handed,Left leg in first,On your right side,"Cat, Dog, Horse",2
First,3,7,6,Right-handed,Left leg in first,On your back,"Cat, Fish",2
Third,1,3,8,Left-handed,I don't know,On your back,Dog,2
Second,7,30,6,Left-handed,Left leg in first,On your back,Dog,2
Second,8,7,8.5,Left-handed,Left leg in first,On your back,Dog,2
Third,3,2,6,Right-handed,Left leg in first,On your back,Dog,2
Fourth,2,2,7,Right-handed,Left leg in first,On your back,Dog,2
Second,3,2,7,Right-handed,Left leg in first,On your back,Dog,2
Second,3,4,7,Right-handed,Left leg in first,On your back,Dog,2
First,8,15,7,Right-handed,Left leg in first,On your back,Dog,2
Third,3,3,8,Right-handed,Left leg in first,On your back,Dog,2
First,4,3,8,Right-handed,Left leg in first,On your back,Dog,2
Second,7,4,8,Right-handed,Left leg in first,On your back,Dog,2
Third,6,3,7,Left-handed,Right leg in first,On your back,Dog,2
Third,4,1,7,Right-handed,Right leg in first,On your back,Dog,2
Third,6,4,8,Right-handed,Right leg in first,On your back,Dog,2
First,4,5,8,Right-handed,Right leg in first,On your back,Dog,2
Second,7,5,8,Right-handed,Right leg in first,On your back,Dog,2
First,7,10,8,Right-handed,Right leg in first,On your back,Dog,2
First,2,3,7,Right-handed,I don't know,On your left side,Dog,2
First,5,5,6,Right-handed,Left leg in first,On your left side,Dog,2
First,4,10,8,Right-handed,Left leg in first,On your left side,Dog,2
First,4,3,14,Right-handed,Left leg in first,On your left side,Dog,2
First,4,3,5,Right-handed,Right leg in first,On your left side,Dog,2
Fourth,2,2,6,Right-handed,Right leg in first,On your left side,Dog,2
First,6,3,6,Right-handed,Right leg in first,On your left side,Dog,2
First,6,4,6,Right-handed,Right leg in first,On your left side,Dog,2
Third,3,5,6,Right-handed,Right leg in first,On your left side,Dog,2
Second,6,5,6,Right-handed,Right leg in first,On your left side,Dog,2
Second,4,12,6,Right-handed,Right leg in first,On your left side,Dog,2
First,5,3,7,Right-handed,Right leg in first,On your left side,Dog,2
Second,8,4,7,Right-handed,Right leg in first,On your left side,Dog,2
Second,5,5,7,Right-handed,Right leg in first,On your left side,Dog,2
Second,4,10,7,Right-handed,Right leg in first,On your left side,Dog,2
Third,8,40,7,Right-handed,Right leg in first,On your left side,Dog,2
Third,4,1,8,Right-handed,Right leg in first,On your left side,Dog,2
Second,6,3,8,Right-handed,Right leg in first,On your left side,Dog,2
First,7,25,8,Right-handed,Right leg in first,On your left side,Dog,2
First,8,30,6,Right-handed,I don't know,On your right side,Dog,2
First,2,6,7,Right-handed,I don't know,On your right side,Dog,2
Second,7,10,7,Right-handed,I don't know,On your right side,Dog,2
Second,7,6,8,Right-handed,I don't know,On your right side,Dog,2
Second,9,10,8,Left-handed,Left leg in first,On your right side,Dog,2
Third,8,20,6,Right-handed,Left leg in first,On your right side,Dog,2
Third,8,3,7,Right-handed,Left leg in first,On your right side,Dog,2
Second,3,4,7,Right-handed,Left leg in first,On your right side,Dog,2
First,8,5,7,Right-handed,Left leg in first,On your right side,Dog,2
First,8,10,7,Right-handed,Left leg in first,On your right side,Dog,2
First,6,20,7,Right-handed,Left leg in first,On your right side,Dog,2
Fifth or above,8,3,8,Right-handed,Left leg in first,On your right side,Dog,2
Third,4,4,8,Right-handed,Left leg in first,On your right side,Dog,2
First,4,3,5,Right-handed,Right leg in first,On your right side,Dog,2
Fourth,6,3,5,Right-handed,Right leg in first,On your right side,Dog,2
Second,4,2,6,Right-handed,Right leg in first,On your right side,Dog,2
First,5,7,6,Right-handed,Right leg in first,On your right side,Dog,2
First,5,1,7,Right-handed,Right leg in first,On your right side,Dog,2
First,3,2,7,Right-handed,Right leg in first,On your right side,Dog,2
Second,5,3,7,Right-handed,Right leg in first,On your right side,Dog,2
Third,7,4,7,Right-handed,Right leg in first,On your right side,Dog,2
Third,8,4,7,Right-handed,Right leg in first,On your right side,Dog,2
First,8,5,7,Right-handed,Right leg in first,On your right side,Dog,2
First,7,8,7,Right-handed,Right leg in first,On your right side,Dog,2
First,4,10,7,Right-handed,Right leg in first,On your right side,Dog,2
First,6,13,7,Right-handed,Right leg in first,On your right side,Dog,2
Second,6,4,8,Right-handed,Right leg in first,On your right side,Dog,2
First,3,5,8,Right-handed,Right leg in first,On your right side,Dog,2
Second,3,5,8,Right-handed,Right leg in first,On your right side,Dog,2
First,7,5,8,Right-handed,Right leg in first,On your right side,Dog,2
Third,8,5,8,Right-handed,Right leg in first,On your right side,Dog,2
First,5,3,5,Left-handed,Left leg in first,On your stomach,Dog,2
First,5,3,6,Right-handed,Left leg in first,On your stomach,Dog,2
First,3,6,9,Right-handed,Left leg in first,On your stomach,Dog,2
Second,6,5,4,Right-handed,Right leg in first,On your stomach,Dog,2
First,7,5,5,Right-handed,Right leg in first,On your stomach,Dog,2
Second,7,3,6,Right-handed,Right leg in first,On your stomach,Dog,2
First,3,4,7,Right-handed,Right leg in first,On your stomach,Dog,2
Second,5,10,7,Right-handed,Right leg in first,On your stomach,Dog,2
Second,3,3,8,Right-handed,Right leg in first,On your stomach,Dog,2
Third,3,9,8,Right-handed,Right leg in first,On your stomach,Dog,2
First,4,9,8,Right-handed,Right leg in first,On your stomach,Dog,2
