family,father,mother,child,children,order,sex
155,68.0,60.0,60.0,7,4,female
155,68.0,60.0,60.0,7,5,female
155,68.0,60.0,60.0,7,6,female
155,68.0,60.0,56.0,7,7,female
156,68.0,60.0,67.5,4,1,male
156,68.0,60.0,67.0,4,2,male
156,68.0,60.0,66.5,4,3,male
156,68.0,60.0,60.0,4,4,female
157,68.5,59.0,69.0,1,1,male
158,68.0,59.0,68.0,10,1,male
158,68.0,59.0,65.0,10,2,male
158,68.0,59.0,64.7,10,3,male
158,68.0,59.0,64.0,10,4,male
158,68.0,59.0,64.0,10,5,male
158,68.0,59.0,63.0,10,6,male
158,68.0,59.0,65.0,10,7,female
158,68.0,59.0,65.0,10,8,female
158,68.0,59.0,62.0,10,9,female
158,68.0,59.0,61.0,10,10,female
159,67.0,66.2,72.7,5,1,male
159,67.0,66.2,72.7,5,2,male
159,67.0,66.2,71.5,5,3,male
159,67.0,66.2,65.5,5,4,female
159,67.0,66.2,63.5,5,5,female
160,67.0,66.5,71.0,1,1,male
161,67.0,66.0,73.0,8,1,male
161,67.0,66.0,71.0,8,2,male
161,67.0,66.0,70.7,8,3,male
161,67.0,66.0,70.0,8,4,male
161,67.0,66.0,69.0,8,5,male
161,67.0,66.0,68.0,8,6,female
161,67.0,66.0,65.5,8,7,female
161,67.0,66.0,62.0,8,8,female
162,67.0,65.0,69.7,6,1,male
162,67.0,65.0,67.5,6,2,male
162,67.0,65.0,65.5,6,3,female
162,67.0,65.0,65.0,6,4,female
162,67.0,65.0,64.5,6,5,female
162,67.0,65.0,63.5,6,6,female
163,67.0,65.5,70.0,5,1,male
163,67.0,65.5,69.0,5,2,male
163,67.0,65.5,65.5,5,3,female
163,67.0,65.5,65.5,5,4,female
163,67.0,65.5,63.0,5,5,female
164,67.0,65.5,70.0,4,1,male
164,67.0,65.5,67.7,4,2,male
164,67.0,65.5,63.0,4,3,female
164,67.0,65.5,60.0,4,4,female
165,67.0,65.0,65.0,3,1,male
165,67.0,65.0,62.0,3,2,female
165,67.0,65.0,62.0,3,3,female
166,67.5,65.0,71.0,11,1,male
166,67.5,65.0,69.0,11,2,male
166,67.5,65.0,64.0,11,3,female
166,67.5,65.0,64.0,11,4,female
166,67.5,65.0,63.0,11,5,female
166,67.5,65.0,63.0,11,6,female
166,67.5,65.0,63.0,11,7,female
166,67.5,65.0,63.0,11,8,female
166,67.5,65.0,63.0,11,9,female
166,67.5,65.0,62.5,11,10,female
166,67.5,65.0,62.0,11,11,female
167,67.0,64.0,71.5,4,1,male
167,67.0,64.0,70.0,4,2,male
167,67.0,64.0,67.0,4,3,male
167,67.0,64.0,67.0,4,4,male
168,67.0,63.5,71.0,8,1,male
168,67.0,63.5,70.2,8,2,male
168,67.0,63.5,69.2,8,3,male
168,67.0,63.5,68.5,8,4,male
168,67.0,63.5,68.0,8,5,male
168,67.0,63.5,67.0,8,6,male
168,67.0,63.5,65.5,8,7,male
168,67.0,63.5,63.5,8,8,female
169,67.0,63.0,69.0,3,1,male
169,67.0,63.0,68.0,3,2,male
169,67.0,63.0,63.0,3,3,female
170,67.5,62.0,70.0,5,1,male
170,67.5,62.0,69.5,5,2,male
170,67.5,62.0,69.0,5,3,male
170,67.5,62.0,68.5,5,4,male
170,67.5,62.0,66.0,5,5,female
171,67.0,61.0,67.0,1,1,male
172,66.0,67.0,70.5,8,1,male
172,66.0,67.0,70.5,8,2,male
172,66.0,67.0,67.0,8,3,male
172,66.0,67.0,66.0,8,4,male
172,66.0,67.0,66.0,8,5,male
172,66.0,67.0,62.0,8,6,female
172,66.0,67.0,62.0,8,7,female
172,66.0,67.0,61.5,8,8,female
173,66.0,67.0,72.0,9,1,male
173,66.0,67.0,65.0,9,2,male
173,66.0,67.0,65.0,9,3,male
173,66.0,67.0,67.0,9,4,female
173,66.0,67.0,64.0,9,5,female
173,66.0,67.0,64.0,9,6,female
173,66.0,67.0,62.0,9,7,female
173,66.0,67.0,60.0,9,8,female
173,66.0,67.0,60.0,9,9,female
174,66.0,66.0,66.0,5,1,male
174,66.0,66.0,65.0,5,2,male
174,66.0,66.0,67.0,5,3,female
174,66.0,66.0,66.5,5,4,female
174,66.0,66.0,65.5,5,5,female
175,66.0,66.0,72.0,6,1,male
175,66.0,66.0,68.0,6,2,male
175,66.0,66.0,66.0,6,3,female
175,66.0,66.0,65.0,6,4,female
175,66.0,66.0,62.0,6,5,female
175,66.0,66.0,61.0,6,6,female
176,66.5,65.0,68.7,8,1,male
176,66.5,65.0,68.5,8,2,male
176,66.5,65.0,66.5,8,3,male
176,66.5,65.0,64.5,8,4,male
176,66.5,65.0,62.5,8,5,female
176,66.5,65.0,60.5,8,6,female
176,66.5,65.0,60.5,8,7,female
176,66.5,65.0,57.5,8,8,female
177,66.0,65.5,72.0,5,1,male
177,66.0,65.5,71.0,5,2,male
177,66.0,65.5,67.0,5,3,male
177,66.0,65.5,66.0,5,4,female
177,66.0,65.5,65.0,5,5,female
178,66.0,63.0,70.0,1,1,male
179,66.0,63.5,64.5,2,1,female
179,66.0,63.5,62.0,2,2,female
180,66.5,63.0,67.2,6,1,male
180,66.5,63.0,67.0,6,2,male
180,66.5,63.0,65.0,6,3,male
180,66.5,63.0,65.0,6,4,female
180,66.5,63.0,65.0,6,5,female
180,66.5,63.0,63.0,6,6,female
181,66.5,62.5,70.0,7,1,male
181,66.5,62.5,68.0,7,2,male
181,66.5,62.5,63.5,7,3,female
181,66.5,62.5,62.5,7,4,female
181,66.5,62.5,62.5,7,5,female
181,66.5,62.5,62.5,7,6,female
181,66.5,62.5,62.5,7,7,female
182,66.0,61.5,70.0,1,1,male
183,66.0,60.0,68.0,4,1,male
183,66.0,60.0,67.0,4,2,male
183,66.0,60.0,65.0,4,3,male
183,66.0,60.0,60.0,4,4,female
184,66.0,60.0,65.0,1,1,male
185,66.0,59.0,68.0,15,1,male
185,66.0,59.0,67.0,15,2,male
185,66.0,59.0,66.5,15,3,male
185,66.0,59.0,66.0,15,4,male
185,66.0,59.0,65.7,15,5,male
185,66.0,59.0,65.5,15,6,male
185,66.0,59.0,65.0,15,7,male
185,66.0,59.0,65.0,15,8,female
185,66.0,59.0,64.0,15,9,female
185,66.0,59.0,63.0,15,10,female
185,66.0,59.0,62.0,15,11,female
185,66.0,59.0,61.0,15,12,female
185,66.0,59.0,60.0,15,13,female
185,66.0,59.0,58.0,15,14,female
185,66.0,59.0,57.0,15,15,female
186,65.0,67.0,66.5,4,1,male
186,65.0,67.0,66.0,4,2,male
186,65.0,67.0,66.0,4,3,male
186,65.0,67.0,65.0,4,4,female
187,65.0,67.0,63.0,1,1,female
188,65.0,66.0,63.0,4,1,male
188,65.0,66.0,63.0,4,2,female
188,65.0,66.0,63.0,4,3,female
188,65.0,66.0,60.0,4,4,female
189,65.0,66.0,67.0,5,1,male
189,65.0,66.0,66.0,5,2,male
189,65.0,66.0,65.0,5,3,male
189,65.0,66.0,65.0,5,4,female
189,65.0,66.0,61.0,5,5,female
190,65.0,65.0,69.0,9,1,male
190,65.0,65.0,68.0,9,2,male
190,65.0,65.0,68.0,9,3,male
190,65.0,65.0,65.0,9,4,female
190,65.0,65.0,65.0,9,5,female
190,65.0,65.0,62.0,9,6,female
190,65.0,65.0,62.0,9,7,female
190,65.0,65.0,61.0,9,8,female
190,65.0,65.0,59.0,9,9,female
191,65.0,65.5,70.7,2,1,male
191,65.0,65.5,65.5,2,2,female
192,65.0,65.0,69.2,6,1,male
192,65.0,65.0,69.0,6,2,male
192,65.0,65.0,68.0,6,3,male
192,65.0,65.0,67.7,6,4,male
192,65.0,65.0,64.5,6,5,female
192,65.0,65.0,60.5,6,6,female
193,65.0,64.0,67.0,6,1,male
193,65.0,64.0,67.0,6,2,male
193,65.0,64.0,64.0,6,3,female
193,65.0,64.0,64.0,6,4,female
193,65.0,64.0,62.5,6,5,female
193,65.0,64.0,60.5,6,6,female
194,65.0,63.0,70.0,2,1,male
194,65.0,63.0,63.0,2,2,female
195,65.0,63.0,66.0,3,1,male
195,65.0,63.0,66.0,3,2,male
195,65.0,63.0,63.0,3,3,female
196,65.5,63.0,71.0,4,1,male
196,65.5,63.0,71.0,4,2,male
196,65.5,63.0,69.0,4,3,male
196,65.5,63.0,63.5,4,4,female
197,65.5,60.0,68.0,5,1,male
197,65.5,60.0,68.0,5,2,male
197,65.5,60.0,67.0,5,3,male
197,65.5,60.0,67.0,5,4,male
197,65.5,60.0,62.0,5,5,female
198,64.0,64.0,71.5,7,1,male
198,64.0,64.0,68.0,7,2,male
198,64.0,64.0,65.5,7,3,female
198,64.0,64.0,64.0,7,4,female
198,64.0,64.0,62.0,7,5,female
198,64.0,64.0,62.0,7,6,female
198,64.0,64.0,61.0,7,7,female
199,64.0,64.0,70.5,7,1,male
199,64.0,64.0,68.0,7,2,male
199,64.0,64.0,67.0,7,3,female
199,64.0,64.0,65.0,7,4,female
199,64.0,64.0,64.0,7,5,female
199,64.0,64.0,64.0,7,6,female
199,64.0,64.0,60.0,7,7,female
200,64.0,63.0,64.5,1,1,male
201,64.0,60.0,66.0,2,1,male
201,64.0,60.0,60.0,2,2,female
202,63.0,63.5,68.5,2,1,female
202,63.0,63.5,63.5,2,2,female
203,62.0,66.0,64.0,3,1,male
203,62.0,66.0,62.0,3,2,female
203,62.0,66.0,61.0,3,3,female
204,62.5,63.0,66.5,2,1,male
204,62.5,63.0,57.0,2,2,female
