rank,name,position,team,salary,season
190,Devin Harris,G,Dallas Mavericks,3153120,2007
191,Trevor Ariza,SF,Orlando Magic,3100000,2007
192,Fred Jones,SG,Toronto Raptors,3100000,2007
193,Raymond Felton,G,Charlotte Bobcats,3060840,2007
194,Jeff Green,PF,Houston Rockets,3058200,2007
195,Steven Hunter,C,Philadelphia 76ers,3024000,2007
196,Chris Duhon,PG,Chicago Bulls,3024000,2007
197,Chucky Atkins,PG,Memphis Grizzlies,3000000,2007
198,Francisco Elson,C,San Antonio Spurs,3000000,2007
199,Rasual Butler,SF,NO/Oklahoma City Hornets,3000000,2007
200,Shelden Williams,C,Atlanta Hawks,2952840,2007
201,Earl Boykins,PG,Milwaukee Bucks,2950000,2007
202,T.J. Ford,PG,Toronto Raptors,2929467,2007
203,Jake Tsakalidis,C,Memphis Grizzlies,2900000,2007
204,Michael Finley,SG,San Antonio Spurs,2889000,2007
205,Michael Doleac,C,Miami Heat,2880000,2007
206,Josh Childress,F,Atlanta Hawks,2863920,2007
207,Willie Green,SG,Philadelphia 76ers,2800000,2007
208,Brian Scalabrine,PF,Boston Celtics,2793103,2007
209,Martell Webster,SF,Portland Trail Blazers,2780160,2007
210,Dan Dickau,PG,Portland Trail Blazers,2753218,2007
211,Primoz Brezec,C,Charlotte Bobcats,2750000,2007
212,Eddie Griffin,PF,Minnesota Timberwolves,2700000,2007
213,Damien Wilkins,SG,Seattle SuperSonics,2700000,2007
214,Michael Sweetney,PF,Chicago Bulls,2696956,2007
215,Brandon Roy,SG,Portland Trail Blazers,2681880,2007
216,James Jones,SG,Phoenix Suns,2650000,2007
217,Anthony Johnson,PG,Dallas Mavericks,2640000,2007
218,Jarron Collins,C,Utah Jazz,2625698,2007
219,Luol Deng,F,Chicago Bulls,2614440,2007
220,Jarvis Hayes,SF,Washington Wizards,2564127,2007
221,Juan Dixon,SG,Toronto Raptors,2550000,2007
222,Charlie Villanueva,PF,Milwaukee Bucks,2537880,2007
223,Corey Brewer,SG,Sacramento Kings,2535720,2007
224,Mickael Pietrus,SF,Golden State Warriors,2535260,2007
225,Keith Bogans,SG,Orlando Magic,2510000,2007
226,Nick Collison,F,Seattle SuperSonics,2501070,2007
227,Fabricio Oberto,C,San Antonio Spurs,2500000,2007
228,Bostjan Nachbar,SF,New Jersey Nets,2500000,2007
229,Alonzo Mourning,C,Miami Heat,2500000,2007
230,Aaron McKie,SG,Los Angeles Lakers,2500000,2007
231,Randy Foye,SG,Minnesota Timberwolves,2448240,2007
232,Luke Ridnour,PG,Seattle SuperSonics,2425878,2007
233,Rafael Araujo,C,Utah Jazz,2395200,2007
234,Jose Calderon,G,Toronto Raptors,2333334,2007
235,Channing Frye,F,New York Knicks,2325000,2007
236,Lindsey Hunter,SG,Detroit Pistons,2250000,2007
237,Rudy Gay,SF,Memphis Grizzlies,2242920,2007
238,Mark Madsen,PF,Minnesota Timberwolves,2210000,2007
239,Dikembe Mutombo,C,Houston Rockets,2210000,2007
240,Andre Iguodala,SG,Philadelphia 76ers,2201640,2007
241,Othella Harrington,PF,Charlotte Bobcats,2200000,2007
242,Jackie Butler,C,San Antonio Spurs,2200000,2007
243,Scot Pollard,C,Cleveland Cavaliers,2200000,2007
244,Zarko Cabarkapa,SF,Golden State Warriors,2157097,2007
245,Ike Diogu,PF,Indiana Pacers,2137200,2007
246,Bonzi Wells,SG,Houston Rockets,2115000,2007
247,Patrick O'Bryant,C,Golden State Warriors,2061720,2007
248,David West,F,NO/Oklahoma City Hornets,2051938,2007
249,Andrew Bynum,C,Los Angeles Lakers,2030280,2007
250,Matt Bonner,C,San Antonio Spurs,2000000,2007
251,Jake Voskuhl,C,Charlotte Bobcats,2000000,2007
252,DeSagana Diop,C,Dallas Mavericks,1998000,2007
253,Andris Biedrins,C,Golden State Warriors,1986960,2007
254,Devean George,SF,Dallas Mavericks,1974259,2007
255,Sasha Pavlovic,SG,Cleveland Cavaliers,1962206,2007
256,Mouhamed Sene,C,Seattle SuperSonics,1958640,2007
257,Mo Williams,PG,Milwaukee Bucks,1920000,2007
258,Robert Swift,C,Seattle SuperSonics,1887600,2007
259,Dahntay Jones,SG,Memphis Grizzlies,1886113,2007
260,Boris Diaw,C,Phoenix Suns,1870501,2007
261,JJ Redick,SG,Orlando Magic,1860720,2007
262,Zoran Planinic,PG,Brooklyn Nets,1854376,2007
263,Travis Outlaw,SF,Portland Trail Blazers,1836426,2007
264,Thaddeus Young,PF,Chicago Bulls,1830720,2007
265,Brian Cook,PF,Los Angeles Lakers,1817141,2007
266,Michael Ruffin,PF,Washington Wizards,1803600,2007
267,Malik Allen,PF,Chicago Bulls,1803600,2007
268,Vassilis Spanoulis,PG,Houston Rockets,1800000,2007
269,Walter Herrmann Heinrich,PF,Charlotte Bobcats,1800000,2007
270,Sebastian Telfair,PG,Boston Celtics,1793160,2007
271,Hilton Armstrong,PF,NO/Oklahoma City Hornets,1767600,2007
272,Ronald Murray,SG,Detroit Pistons,1750000,2007
273,David Wesley,SG,Cleveland Cavaliers,1750000,2007
274,Shammond Williams,PG,Los Angeles Lakers,1750000,2007
275,Aaron Williams,C,LA Clippers,1750000,2007
276,Sean May,C,Charlotte Bobcats,1740720,2007
277,Kris Humphries,PF,Toronto Raptors,1703520,2007
278,Kendrick Perkins,C,Boston Celtics,1689410,2007
279,Leandro Barbosa,SG,Phoenix Suns,1679733,2007
280,Thabo Sefolosha,SF,Chicago Bulls,1679280,2007
281,Josh Howard,SF,Dallas Mavericks,1667603,2007
282,Rashad McCants,SG,Minnesota Timberwolves,1653720,2007
283,Didier Ilunga-Mbenga,C,Dallas Mavericks,1628959,2007
284,Maurice Evans,SG,Los Angeles Lakers,1620000,2007
285,Al Jefferson,C,Boston Celtics,1618320,2007
286,Clifford Robinson,PF,New Jersey Nets,1600000,2007
287,Ronnie Brewer,SF,Utah Jazz,1595400,2007
288,Antoine Wright,SF,New Jersey Nets,1570920,2007
289,Rodney Stuckey,PG,Indiana Pacers,1569600,2007
290,Jalen Rose,SG,Phoenix Suns,1540000,2007
291,Kirk Snyder,SG,Houston Rockets,1537440,2007
292,Justin Reed,SF,Minnesota Timberwolves,1529873,2007
293,Cedric Simmons,SF,NO/Oklahoma City Hornets,1515480,2007
294,Joey Graham,SF,Toronto Raptors,1492440,2007
295,Adrian Griffin,SG,Chicago Bulls,1475000,2007
296,Yaroslav Korolev,SF,LA Clippers,1470000,2007
297,Josh Smith,PF,Atlanta Hawks,1460640,2007
298,Rodney Carney,SG,Philadelphia 76ers,1439760,2007
299,Danny Granger,SF,Indiana Pacers,1417800,2007
300,Eddie House,SG,New Jersey Nets,1400000,2007
301,JR Smith,SG,Denver Nuggets,1387560,2007
302,Luke Walton,SF,Los Angeles Lakers,1375000,2007
303,Shawne Williams,SF,Indiana Pacers,1367760,2007
304,Keith McLeod,PG,Indiana Pacers,1350000,2007
305,Gerald Green,SG,Boston Celtics,1347000,2007
306,Steve Blake,PG,Milwaukee Bucks,1330000,2007
307,Dorell Wright,SF,Miami Heat,1325160,2007
308,Hakim Warrick,PF,Memphis Grizzlies,1286280,2007
309,Jameer Nelson,G,Orlando Magic,1272120,2007
310,Quincy Douby,SG,Sacramento Kings,1240920,2007
311,Julius Hodge,SG,Milwaukee Bucks,1234800,2007
312,Jason Smith,F,New Orleans Pelicans,1233840,2007
313,Pavel Podkolzin,C,Dallas Mavericks,1221240,2007
314,Renaldo Balkman,SF,New York Knicks,1191240,2007
315,Jason Kapono,SG,Miami Heat,1188000,2007
316,Matt Carroll,SG,Charlotte Bobcats,1188000,2007
317,Nate Robinson,PG,New York Knicks,1185480,2007
318,Eric Piatkowski,SG,Phoenix Suns,1178348,2007
319,Darrel Armstrong,PG,Indiana Pacers,1178348,2007
320,Victor Khryapa,PF,Chicago Bulls,1172400,2007
321,Rajon Rondo,PG,Boston Celtics,1143600,2007
322,Jarrett Jack,G,Portland Trail Blazers,1137960,2007
323,Marcus Williams,PG,New Jersey Nets,1097880,2007
324,Francisco Garcia,SG,Sacramento Kings,1092600,2007
325,Delonte West,SG,Boston Celtics,1080480,2007
326,Nenad Krstic,C,New Jersey Nets,1080480,2007
327,Mikki Moore,C,New Jersey Nets,1071225,2007
328,Josh Boone,PF,New Jersey Nets,1053960,2007
329,Luther Head,PG,Houston Rockets,1048800,2007
330,Carlos Delfino,SG,Detroit Pistons,1037280,2007
331,Tony Allen,SG,Boston Celtics,1037280,2007
332,Kyle Lowry,PG,Memphis Grizzlies,1011720,2007
333,Johan Petro,C,Seattle SuperSonics,1006800,2007
334,Kevin Martin,SG,Sacramento Kings,1002840,2007
335,Jannero Pargo,PG,NO/Oklahoma City Hornets,1000000,2007
336,Bernard Robinson,SG,Charlotte Bobcats,1000000,2007
337,Shavlik Randolph,PF,Philadelphia 76ers,1000000,2007
338,Calvin Booth,C,Washington Wizards,998967,2007
339,Sasha Vujacic,SG,Los Angeles Lakers,973920,2007
340,Jason Maxiell,PF,Detroit Pistons,973440,2007
341,Shannon Brown,PG,Cleveland Cavaliers,971280,2007
342,Beno Udrih,PG,San Antonio Spurs,967920,2007
343,David Harrison,C,Indiana Pacers,960840,2007
344,Anderson Varejao,C,Cleveland Cavaliers,945600,2007
345,Arron Afflalo,G,Orlando Magic,944520,2007
346,Jordan Farmar,PG,Los Angeles Lakers,939120,2007
347,Wayne Simien,PF,Miami Heat,932760,2007
348,DeShawn Stevenson,SG,Washington Wizards,932015,2007
349,David Lee,PF,New York Knicks,926040,2007
350,Maurice Ager,SF,Dallas Mavericks,906480,2007
351,Mardy Collins,PG,New York Knicks,899880,2007
352,Linas Kleiza,SF,Denver Nuggets,845360,2007
353,Pat Burke,C,Phoenix Suns,810000,2007
354,Mickael Gelabale,SF,Seattle SuperSonics,802000,2007
355,Mile Ilic,C,New Jersey Nets,800000,2007
356,Smush Parker,PG,Los Angeles Lakers,798112,2007
357,Dajuan Wagner,SG,Golden State Warriors,798112,2007
358,Jamal Sampson,C,Denver Nuggets,774551,2007
359,Ronald Dupree,SF,Detroit Pistons,771331,2007
360,Linton Johnson,PF,NO/Oklahoma City Hornets,771331,2007
361,Quinton Ross,SF,LA Clippers,771331,2007
362,Sergio Rodriguez,PG,Portland Trail Blazers,760000,2007
363,Randolph Morris,C,New York Knicks,750000,2007
364,Sean Marks,PF,Phoenix Suns,744551,2007
365,Andre Barrett,SG,Chicago Bulls,744551,2007
366,Scott Padgett,PF,Memphis Grizzlies,744551,2007
367,Pape Sow,PF,Toronto Raptors,744551,2007
368,Darrick Martin,PG,Toronto Raptors,744551,2007
369,Peter John Ramos,C,Washington Wizards,744551,2007
370,James Lang,C,Washington Wizards,744551,2007
371,Jacque Vaughn,PG,San Antonio Spurs,744551,2007
372,Royal Ivey,PG,Atlanta Hawks,744551,2007
373,Mike Wilks,PG,Seattle SuperSonics,744551,2007
374,Ime Udoka,F,Portland Trail Blazers,744551,2007
375,DerMarr Johnson,SF,Denver Nuggets,744551,2007
376,Roger Mason Jr.,SG,Washington Wizards,744551,2007
377,Maurice Taylor,PF,Sacramento Kings,744551,2007
378,Bo Outlaw,PF,Orlando Magic,744551,2007
379,Kelvin Cato,C,New York Knicks,744551,2007
380,Jumaine Jones,SF,Phoenix Suns,744551,2007
381,Vin Baker,PF,Minnesota Timberwolves,744551,2007
382,Josh Powell,PF,Indiana Pacers,744551,2007
383,Gary Payton,PG,Miami Heat,744551,2007
384,Kareem Rush,SG,Seattle SuperSonics,744551,2007
385,Matt Barnes,SF,Golden State Warriors,744551,2007
386,Charlie Bell,SG,Milwaukee Bucks,744551,2007
387,Maceo Baston,SF,Indiana Pacers,744551,2007
388,Michael Olowokandi,C,Boston Celtics,744551,2007
389,Earl Barron,C,Miami Heat,744551,2007
390,Salim Stoudamire,SG,Atlanta Hawks,729000,2007
391,John Lucas III,PG,Houston Rockets,700000,2007
392,James Singleton,F,LA Clippers,675000,2007
393,Solomon Jones,PF,Atlanta Hawks,675000,2007
394,Donell Taylor,PG,Washington Wizards,664209,2007
395,C.J. Miles,SG,Utah Jazz,664209,2007
396,Dwayne Jones II,PF,Cleveland Cavaliers,664209,2007
397,Travis Diener,PG,Orlando Magic,664209,2007
398,Rawle Marshall,SF,Indiana Pacers,664209,2007
399,Ronnie Price,PG,Sacramento Kings,664209,2007
400,Ronny Turiaf,C,Los Angeles Lakers,664209,2007
401,Amir Johnson,F,Detroit Pistons,664209,2007
402,Andray Blatche,C,Washington Wizards,664209,2007
403,Bracey Wright,SG,Minnesota Timberwolves,664209,2007
404,Stephen Graham,SF,Portland Trail Blazers,664209,2007
405,Ersan Ilyasova,PF,Milwaukee Bucks,664209,2007
406,Orien Greene,PG,Indiana Pacers,664209,2007
407,Lynn Greer,PG,Milwaukee Bucks,664209,2007
408,Lou Williams,SG,Philadelphia 76ers,664209,2007
409,Daniel Ewing,PG,LA Clippers,664209,2007
410,Brandon Bass,PF,NO/Oklahoma City Hornets,664209,2007
411,Lawrence Roberts,PF,Memphis Grizzlies,664209,2007
412,Monta Ellis,SG,Golden State Warriors,664209,2007
413,Chuck Hayes,PF,Houston Rockets,664209,2007
414,Noel Felix,F,Oklahoma City Thunder,664209,2007
415,Eddie Basden,SG,Chicago Bulls,664209,2007
416,Martynas Andriuskevicius,C,Chicago Bulls,664209,2007
417,Ryan Gomes,SF,Boston Celtics,664209,2007
418,Esteban Batista,PF,Atlanta Hawks,644209,2007
419,Paul Millsap,PF,Utah Jazz,625000,2007
420,Derek Anderson,SG,Charlotte Bobcats,617539,2007
421,Steve Novak,SF,Houston Rockets,600000,2007
422,Devin Brown,SG,NO/Oklahoma City Hornets,516806,2007
423,Slava Medvedenko,PF,Atlanta Hawks,490528,2007
424,Leon Powe,PF,Boston Celtics,432000,2007
425,Taurean Green,PG,Denver Nuggets,427163,2007
426,Josh McRoberts,PF,Dallas Mavericks,427163,2007
427,Yakhouba Diawara,SG,Denver Nuggets,412718,2007
428,Marquinhos Vieira,SF,NO/Oklahoma City Hornets,412718,2007
429,Ryan Hollins,C,Charlotte Bobcats,412718,2007
430,Hassan Adams,SF,New Jersey Nets,412718,2007
431,Uros Slokar,PF,Toronto Raptors,412718,2007
432,Paul Davis,C,LA Clippers,412718,2007
433,Craig Smith,PF,Minnesota Timberwolves,412718,2007
434,James Augustine,PF,Orlando Magic,412718,2007
435,Robert Hite,SG,Miami Heat,412718,2007
436,Will Blalock,SG,Detroit Pistons,412718,2007
437,Chris McCray,SG,Milwaukee Bucks,412718,2007
438,David Noel,SF,Milwaukee Bucks,412718,2007
439,Damir Markota,PF,Milwaukee Bucks,412718,2007
440,Brian Chase,NA,Utah Jazz,412718,2007
441,Mike Gansey,NA,null Unknown,412718,2007
442,P.J. Tucker,PF,Toronto Raptors,412718,2007
443,Alexander Johnson,SF,Memphis Grizzlies,412718,2007
444,Tarence Kinsey,SG,Memphis Grizzlies,412718,2007
445,Pops Mensah-Bonsu,PF,Dallas Mavericks,412718,2007
446,Bobby Jones,SF,Philadelphia 76ers,412718,2007
447,Pat Carroll,NA,null Unknown,412718,2007
448,J.J. Barea,PG,Dallas Mavericks,412718,2007
449,Dee Brown,PG,Utah Jazz,412718,2007
450,Chris Quinn,PG,Miami Heat,412718,2007
451,Daniel Gibson,SG,Cleveland Cavaliers,412718,2007
452,Allan Ray,G,Boston Celtics,412718,2007
453,Steven Smith,SF,Philadelphia 76ers,412718,2007
454,Chris Webber,C,Philadelphia 76ers,407313,2007
455,Andre Brown,PF,Seattle SuperSonics,406340,2007
456,James White,SG,San Antonio Spurs,405435,2007
457,Eddie Jones,SG,Memphis Grizzlies,337238,2007
458,Junior Harrington,PG,Memphis Grizzlies,302200,2007
459,Jared Reiner,C,Milwaukee Bucks,302200,2007
460,Kelenna Azubuike,SF,Golden State Warriors,259770,2007
461,Justin Williams,PF,Sacramento Kings,252486,2007
462,Jason Hart,PG,Sacramento Kings,197087,2007
463,Alan Anderson,SG,Charlotte Bobcats,128935,2007
464,Mike Hall,F,Washington Wizards,121388,2007
465,Luke Jackson,SF,Toronto Raptors,109493,2007
466,Lou Amundson,PF,Utah Jazz,101966,2007
467,Alan Henderson,PF,Utah Jazz,70075,2007
468,Will Conroy,PG,Memphis Grizzlies,55839,2007
469,Anthony Carter,PG,Denver Nuggets,37620,2007
470,Von Wafer,SG,LA Clippers,23443,2007
1,Kevin Garnett,PF,Boston Celtics,23751934,2008
2,Shaquille O'Neal,C,Phoenix Suns,21000000,2008
3,Jason Kidd,PG,New Jersey Nets,19728000,2008
4,Jermaine O'Neal,C,Indiana Pacers,19728000,2008
5,Kobe Bryant,SF,Los Angeles Lakers,19490625,2008
6,Tim Duncan,C,San Antonio Spurs,19014188,2008
7,Allen Iverson,SG,Denver Nuggets,19012500,2008
8,Stephon Marbury,PG,New York Knicks,19012500,2008
9,Tracy McGrady,SG,Houston Rockets,18257750,2008
10,Baron Davis,PG,Golden State Warriors,16440000,2008
11,Shawn Marion,SG,Phoenix Suns,16440000,2008
12,Paul Pierce,SF,Boston Celtics,16360094,2008
13,Dirk Nowitzki,F,Dallas Mavericks,16360094,2008
14,Antawn Jamison,PF,Washington Wizards,16360094,2008
15,Ray Allen,SG,Boston Celtics,16000000,2008
16,Ben Wallace,PF,Cleveland Cavaliers,15500000,2008
17,Elton Brand,PF,LA Clippers,15344000,2008
18,Mike Bibby,PG,Sacramento Kings,14983603,2008
19,Rashard Lewis,PF,Orlando Magic,14884951,2008
20,Michael Redd,SG,Milwaukee Bucks,14520000,2008
21,Amar'e Stoudemire,C,Phoenix Suns,13762775,2008
22,Yao Ming,C,Houston Rockets,13762775,2008
23,Pau Gasol,PF,Memphis Grizzlies,13735000,2008
24,Andrei Kirilenko,SF,Utah Jazz,13735000,2008
25,Joe Johnson,G,Atlanta Hawks,13488378,2008
26,Zach Randolph,F,New York Knicks,13333333,2008
27,Vince Carter,G,New Jersey Nets,13325000,2008
28,Kenyon Martin,PF,Denver Nuggets,13250000,2008
29,Lamar Odom,PF,Los Angeles Lakers,13248596,2008
30,Carmelo Anthony,PF,Denver Nuggets,13041250,2008
31,Dwyane Wade,G,Miami Heat,13041250,2008
32,Chris Bosh,PF,Toronto Raptors,13041250,2008
33,LeBron James,SF,Cleveland Cavaliers,13041250,2008
34,Rasheed Wallace,PF,Detroit Pistons,12540000,2008
35,Raef LaFrentz,C,Portland Trail Blazers,12440787,2008
36,Wally Szczerbiak,SG,Seattle SuperSonics,12275000,2008
37,Richard Jefferson,F,New Jersey Nets,12200000,2008
38,Larry Hughes,SG,Cleveland Cavaliers,12000084,2008
39,Gilbert Arenas,PG,Washington Wizards,11950400,2008
40,Peja Stojakovic,SF,New Orleans Hornets,11664000,2008
41,Carlos Boozer,PF,Utah Jazz,11593816,2008
42,Steve Nash,PG,Phoenix Suns,11375000,2008
43,Kirk Hinrich,SG,Chicago Bulls,11250000,2008
44,Jason Richardson,SG,Charlotte Bobcats,11111110,2008
45,David West,F,New Orleans Hornets,10650000,2008
46,Erick Dampier,C,Dallas Mavericks,10590500,2008
47,Tony Parker,G,San Antonio Spurs,10500000,2008
48,Brad Miller,C,Sacramento Kings,10500000,2008
49,Tyson Chandler,C,New Orleans Hornets,10500000,2008
50,Samuel Dalembert,C,Philadelphia 76ers,10251435,2008
51,Zydrunas Ilgauskas,C,Cleveland Cavaliers,10142156,2008
52,Marcus Camby,C,Denver Nuggets,10000000,2008
53,Chauncey Billups,PG,Detroit Pistons,10000000,2008
54,Richard Hamilton,SG,Detroit Pistons,10000000,2008
55,Andre Miller,PG,Philadelphia 76ers,9600000,2008
56,Josh Howard,SF,Dallas Mavericks,9500000,2008
57,Gerald Wallace,SF,Charlotte Bobcats,9500000,2008
58,Kwame Brown,C,Memphis Grizzlies,9379279,2008
59,Bobby Simmons,SF,Milwaukee Bucks,9280000,2008
60,Troy Murphy,PF,Indiana Pacers,9206349,2008
61,Manu Ginobili,G,San Antonio Spurs,9079811,2008
62,Boris Diaw,C,Phoenix Suns,9000000,2008
63,Mehmet Okur,C,Utah Jazz,9000000,2008
64,Eddy Curry,NA,New York Knicks,8947543,2008
65,Jason Williams,PG,Miami Heat,8937500,2008
66,Jason Terry,G,Dallas Mavericks,8898000,2008
67,Nene Hilario,C,Denver Nuggets,8840000,2008
68,Tayshaun Prince,SF,Detroit Pistons,8675620,2008
69,Chris Kaman,C,LA Clippers,8600000,2008
70,Andres Nocioni,SF,Chicago Bulls,8500000,2008
71,Caron Butler,SF,Washington Wizards,8468990,2008
72,Al Harrington,PF,Golden State Warriors,8425625,2008
73,Mike Miller,SG,Memphis Grizzlies,8376194,2008
74,Cuttino Mobley,SG,LA Clippers,8350000,2008
75,Antoine Walker,PF,Minnesota Timberwolves,8329640,2008
76,T.J. Ford,PG,Toronto Raptors,8275000,2008
77,Darius Miles,SF,Portland Trail Blazers,8250000,2008
78,Mike Dunleavy,SG,Indiana Pacers,8219008,2008
79,Quentin Richardson,SF,New York Knicks,8105500,2008
80,Kurt Thomas,PF,Seattle SuperSonics,8091188,2008
81,Jamal Crawford,SG,New York Knicks,7920000,2008
82,Mark Blount,C,Miami Heat,7901040,2008
83,Kenny Thomas,PF,Sacramento Kings,7875000,2008
84,Rasho Nesterovic,C,Toronto Raptors,7840000,2008
85,Mo Williams,PG,Milwaukee Bucks,7750000,2008
86,Metta World Peace,SF,Sacramento Kings,7400000,2008
87,Malik Rose,PF,New York Knicks,7101250,2008
88,Corey Maggette,SF,LA Clippers,7000000,2008
89,Aaron McKie,SG,Memphis Grizzlies,7000000,2008
90,Ricky Davis,SG,Miami Heat,6819000,2008
91,Jerry Stackhouse,SF,Dallas Mavericks,6750000,2008
92,Eric Snow,PG,Cleveland Cavaliers,6703125,2008
93,Stephen Jackson,SF,Golden State Warriors,6630000,2008
94,Luke Ridnour,PG,Seattle SuperSonics,6500000,2008
95,Darko Milicic,C,Memphis Grizzlies,6500000,2008
96,Chris Wilcox,PF,Seattle SuperSonics,6500000,2008
97,Drew Gooden,PF,Cleveland Cavaliers,6453416,2008
98,Antonio McDyess,PF,Detroit Pistons,6373900,2008
99,Marquis Daniels,SG,Indiana Pacers,6373900,2008
100,Hedo Turkoglu,SF,Orlando Magic,6373900,2008
101,Etan Thomas,C,Washington Wizards,6373900,2008
102,Speedy Claxton,PG,Atlanta Hawks,6306182,2008
103,Jamaal Tinsley,PG,Indiana Pacers,6300000,2008
104,Jason Collins,C,Memphis Grizzlies,6100000,2008
105,Dwight Howard,C,Orlando Magic,6061274,2008
106,Marko Jaric,PG,Minnesota Timberwolves,6050000,2008
107,Udonis Haslem,PF,Miami Heat,6050000,2008
108,Matt Harpring,SF,Utah Jazz,6000000,2008
109,Shane Battier,SF,Houston Rockets,5883600,2008
110,Brian Cardinal,PF,Memphis Grizzlies,5850000,2008
111,Mike James,PG,Houston Rockets,5826893,2008
112,Shareef Abdur-Rahim,PF,Sacramento Kings,5800000,2008
113,Earl Watson,PG,Seattle SuperSonics,5800000,2008
114,Stromile Swift,PF,Memphis Grizzlies,5800000,2008
115,Antonio Daniels,PG,Washington Wizards,5800000,2008
116,Jerome James,C,New York Knicks,5800000,2008
117,Joel Przybilla,C,Portland Trail Blazers,5762575,2008
118,Dan Gadzuric,C,Milwaukee Bucks,5751130,2008
119,Nick Collison,F,Seattle SuperSonics,5750000,2008
120,Bobby Jackson,PG,Houston Rockets,5670000,2008
121,Nazr Mohammed,C,Charlotte Bobcats,5632200,2008
122,Jared Jeffries,PF,New York Knicks,5632200,2008
123,Tim Thomas,PF,LA Clippers,5632200,2008
124,Vladimir Radmanovic,SF,Los Angeles Lakers,5632200,2008
125,Leandro Barbosa,SG,Phoenix Suns,5600000,2008
126,Donyell Marshall,PF,Seattle SuperSonics,5566965,2008
127,Jeff Foster,PF,Indiana Pacers,5500000,2008
128,Matt Carroll,SG,Charlotte Bobcats,5450000,2008
129,Emeka Okafor,C,Charlotte Bobcats,5427307,2008
130,Mikki Moore,C,Sacramento Kings,5356000,2008
131,Anderson Varejao,C,Cleveland Cavaliers,5356000,2008
132,Jason Kapono,SG,Toronto Raptors,5356000,2008
133,Joe Smith,PF,Cleveland Cavaliers,5205000,2008
134,Tony Battie,C,Orlando Magic,5200000,2008
135,Morris Peterson,SG,New Orleans Hornets,5000000,2008
136,Desmond Mason,SF,Milwaukee Bucks,5000000,2008
137,Brendan Haywood,C,Washington Wizards,5000000,2008
138,Andrew Bogut,C,Milwaukee Bucks,4991520,2008
139,Eduardo Najera,PF,Denver Nuggets,4952380,2008
140,Ben Gordon,SG,Chicago Bulls,4881669,2008
141,Andrea Bargnani,C,Toronto Raptors,4838880,2008
142,John Salmons,SF,Sacramento Kings,4752000,2008
143,Raja Bell,SG,Phoenix Suns,4750000,2008
144,Greg Oden,C,Portland Trail Blazers,4662000,2008
145,Rafer Alston,PG,Houston Rockets,4550000,2008
146,Kyle Korver,SG,Utah Jazz,4500000,2008
147,Kendrick Perkins,C,Boston Celtics,4480912,2008
148,Marvin Williams,PF,Atlanta Hawks,4466040,2008
149,Shaun Livingston,G,LA Clippers,4404629,2008
150,Derek Fisher,PG,Los Angeles Lakers,4352000,2008
151,Trenton Hassell,SF,New Jersey Nets,4350000,2008
152,Anthony Parker,SG,Toronto Raptors,4350000,2008
153,LaMarcus Aldridge,PF,Portland Trail Blazers,4329360,2008
154,Reggie Evans,C,Philadelphia 76ers,4320000,2008
155,Sasha Pavlovic,SG,Cleveland Cavaliers,4250000,2008
156,Steve Blake,PG,Portland Trail Blazers,4250000,2008
157,Keith Van Horn,PF,New Jersey Nets,4236997,2008
158,Damon Jones,PG,Cleveland Cavaliers,4172432,2008
159,Kevin Durant,SF,Seattle SuperSonics,4171200,2008
160,Bruce Bowen,SF,San Antonio Spurs,4125000,2008
161,Deron Williams,PG,Utah Jazz,4010640,2008
162,Jorge Garbajosa,PF,Toronto Raptors,4000000,2008
163,Travis Outlaw,SF,Portland Trail Blazers,4000000,2008
164,Sarunas Jasikevicius,PG,Golden State Warriors,4000000,2008
165,Zaza Pachulia,C,Atlanta Hawks,4000000,2008
166,Luke Walton,SF,Los Angeles Lakers,4000000,2008
167,Carlos Arroyo,PG,Orlando Magic,4000000,2008
168,Devin Harris,G,New Jersey Nets,3995003,2008
169,Marcus Banks,PG,Phoenix Suns,3966207,2008
170,Darius Songaila,PF,Washington Wizards,3942000,2008
171,Adam Morrison,SF,Charlotte Bobcats,3887880,2008
172,Bob Sura,PG,Houston Rockets,3840000,2008
173,Pat Garrity,PF,Orlando Magic,3818750,2008
174,Greg Buckner,SG,Minnesota Timberwolves,3750746,2008
175,Al Horford,PF,Atlanta Hawks,3745800,2008
176,Amir Johnson,F,Detroit Pistons,3666667,2008
177,Steven Hunter,C,Denver Nuggets,3638600,2008
178,Robert Horry,PF,San Antonio Spurs,3630000,2008
179,Chris Paul,PG,New Orleans Hornets,3615960,2008
180,Keyon Dooling,PG,Orlando Magic,3596000,2008
181,Tyrus Thomas,PF,Chicago Bulls,3505320,2008
182,Fabricio Oberto,C,San Antonio Spurs,3500000,2008
183,Brian Cook,PF,Orlando Magic,3500000,2008
184,Mickael Pietrus,SF,Golden State Warriors,3470771,2008
185,Kevin Ollie,PG,Philadelphia 76ers,3441900,2008
186,Mike Conley,PG,Memphis Grizzlies,3377160,2008
187,DeShawn Stevenson,SG,Washington Wizards,3348215,2008
188,Luol Deng,F,Chicago Bulls,3320339,2008
189,Rasual Butler,SF,New Orleans Hornets,3315000,2008
190,Fred Jones,SG,New York Knicks,3300000,2008
191,Raymond Felton,G,Charlotte Bobcats,3274440,2008
192,Lorenzen Wright,PF,Sacramento Kings,3250000,2008
193,Chris Duhon,PG,Chicago Bulls,3248000,2008
194,James Posey,SF,Boston Celtics,3206000,2008
195,Shelden Williams,C,Sacramento Kings,3174240,2008
